Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster
Norway,Y,N,N,Retail,NA,NA,NA,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
Mexico,N,N,N,Retail,1890,NA,-66,The Consistent
Japan,Y,N,N,Finance,1967,Founder,20,The Ghost
Kazakhstan,Y,N,N,Metals and Mining,NA,Founder,NA,The Hustler
China,Y,N,N,Manufacturing,2008,Founder,51,The Consistent
Spain,Y,Y,N,Construction and Engineering,NA,NA,NA,The Ghost
China,Y,N,N,Real Estate,1992,Chairman,32,The Hustler
China,Y,N,Y,Metals and Mining,1989,NA,29,The Consistent
United States,Y,Y,N,Finance,1995,NA,34,The Consistent
Canada,Y,Y,N,Real Estate,1990,Founder,28,The Consistent
Russia,Y,Y,N,Food and Beverage,NA,NA,NA,The Hustler
Turkey,Y,N,N,Construction and Engineering,1994,NA,27,The Consistent
China,Y,Y,N,Diversified,1992,NA,25,The Consistent
Hong Kong,Y,N,N,Energy,NA,NA,NA,The Consistent
United States,Y,Y,N,Software,1994,Founder,26,The Consistent
Saudi Arabia,N,Y,N,Construction and Engineering,NA,NA,NA,The Consistent
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
Turkey,N,Y,N,Diversified,NA,NA,NA,The Consistent
Indonesia,Y,N,N,Manufacturing,1980,Founder,50,The Consistent
Netherlands,N,N,N,Manufacturing,1919,Relation,-16,The Consistent
United States,Y,Y,N,Real Estate,NA,NA,NA,The Consistent
United States,Y,Y,N,Retail,1974,Founder,45,The Ghost
United States,N,Y,N,Retail,NA,NA,NA,The Hustler
South Africa,Y,N,N,Finance,NA,NA,NA,The Ghost
Spain,N,Y,N,Finance,1857,Relation,-78,The Ghost
Italy,Y,N,N,Finance,1982,Founder,42,The Consistent
United States,N,Y,Y,Real Estate,1927,Relation,-12,The Hustler
United Kingdom,N,Y,Y,Retail,NA,NA,NA,The Hustler
United States,Y,Y,N,Finance,1982,Founder,39,The Consistent
United States,Y,Y,N,Finance,1974,Founder,31,The Consistent
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler
United States,Y,Y,N,Health care,1979,Founder,43,The Ghost
United States,N,Y,N,Health care,1944,Relation,-2,The Consistent
China,Y,N,N,Diversified,NA,NA,NA,The Ghost
Spain,N,Y,Y,Service,1976,Relation,29,The Consistent
United States,Y,N,N,Finance,NA,NA,NA,The Ghost
Peru,Y,Y,N,Retail,1967,Founder,24,The Hustler
China,Y,N,N,Manufacturing,1985,Founder,36,The Consistent
United Kingdom,Y,N,N,Telecom,1986,NA,34,The Consistent
China,Y,N,N,Manufacturing,1985,NA,32,The Consistent
Spain,Y,N,N,Fashion and Retail,1973,Founder,20,The Consistent
United States,N,Y,N,Manufacturing,1875,CEO/Chairman,-80,The Consistent
United States,Y,N,N,Real Estate,1991,Founder,35,The Consistent
United States,Y,Y,Y,Finance,NA,Founder,NA,The Consistent
South Korea,Y,Y,N,Health care,2002,NA,45,The Consistent
France,N,N,Y,Retail,NA,NA,NA,The Ghost
China,Y,Y,N,Software,2001,Founder,43,The Consistent
United States,N,Y,N,Service,NA,Relation,NA,The Consistent
India,Y,N,N,Investments,1968,NA,7,The Consistent
United States,N,Y,Y,Fashion and Retail,1969,Relation,7,The Consistent
United States,Y,N,N,Agriculture,1985,NA,24,The Consistent
United States,Y,N,N,Sports,1988,Founder,24,The Consistent
Israel,Y,Y,N,Software,1993,Founder,28,The Consistent
Lebanon,N,Y,N,Real Estate,NA,Relation,NA,The Consistent
Czech Republic,Y,N,N,Energy,1995,NA,27,The Consistent
China,Y,N,N,Manufacturing,2003,Chairman,33,The Hustler
Australia,Y,Y,N,Energy,NA,NA,NA,The Ghost
China,Y,N,N,Metals and Mining,2002,Chairman,28,The Consistent
Japan,Y,N,N,Gaming,2008,Founder,31,The Consistent
United Kingdom,Y,N,N,Retail,NA,NA,NA,The Hustler
Japan,Y,Y,N,Retail,NA,NA,NA,The Hustler
Taiwan,N,N,N,Finance,1954,NA,NA,The Consistent
United Arab Emirates,N,N,N,Diversified,1960,Relation,36,The Consistent
United States,Y,N,N,Food and Beverage,1940,Founder,15,The Consistent
Germany,Y,N,N,Retail,NA,NA,NA,The Ghost
United States,Y,Y,Y,Investments,1985,NA,59,The Consistent
Malaysia,Y,N,N,Diversified,NA,Founder,NA,The Consistent
Germany,Y,N,N,Finance,1975,NA,47,The Hustler
United States,N,Y,N,Energy,1904,Relation,-30,The Consistent
Japan,N,Y,N,Real Estate,1923,Relation,-2,The Ghost
Turkey,N,Y,N,Diversified,NA,NA,NA,The Hustler
United States,N,N,N,Real Estate,NA,NA,NA,The Ghost
Indonesia,N,N,N,Diversified,NA,NA,NA,The Consistent
United States,Y,Y,N,Sports,1947,NA,0,The Hustler
Turkey,N,N,N,Diversified,NA,NA,NA,The Ghost
Singapore,Y,N,N,Food and Beverage,1969,Chairman,20,The Consistent
Mexico,Y,Y,N,Construction and Engineering,1969,Founder,23,The Hustler
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost
Poland,Y,Y,N,Media,NA,Founder,NA,The Hustler
United States,Y,Y,N,Finance,1987,NA,35,The Consistent
South Africa,Y,N,Y,Media,NA,NA,NA,The Consistent
China,Y,N,N,Real Estate,1994,Chairman,41,The Consistent
Australia,Y,Y,Y,Finance,1999,NA,46,The Consistent
Singapore,Y,N,N,Investments,1991,NA,38,The Consistent
Sweden,Y,N,N,Energy,1997,NA,44,The Consistent
Switzerland,N,N,N,Health care,1896,NA,-59,The Consistent
United States,N,Y,N,Media,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1992,NA,33,The Consistent
United States,Y,Y,Y,Investments,1972,Partner,12,The Consistent
South Korea,N,Y,N,Diversified,NA,Relation,NA,The Consistent
Kazakhstan,Y,N,N,Metals and Mining,1930,Investor,-31,The Consistent
Greece,Y,Y,N,Metals and Mining,NA,NA,NA,The Consistent
Russia,Y,Y,N,Energy,1992,NA,31,The Consistent
United States,Y,Y,N,Investments,NA,NA,NA,The Consistent
Spain,Y,Y,N,Metals and Mining,1974,NA,10,The Consistent
China,Y,N,N,Fashion and Retail,1994,NA,31,The Hustler
Turkey,N,Y,N,Finance,NA,NA,NA,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
China,Y,N,N,Health care,NA,NA,NA,The Consistent
China,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United Kingdom,Y,N,Y,Finance,2003,Founder,37,The Consistent
Kazakhstan,Y,Y,N,Finance,1923,NA,-44,The Hustler
Kazakhstan,N,N,N,Finance,1923,Founder,-45,The Hustler
Mexico,N,N,N,Media,1955,Relation,-13,The Consistent
Russia,Y,Y,N,Construction and Engineering,1992,NA,27,The Hustler
China,Y,N,Y,Fashion and Retail,NA,NA,NA,The Hustler
United States,Y,Y,Y,Technology,NA,NA,NA,The Ghost
Switzerland,N,N,N,Manufacturing,NA,NA,NA,The Consistent
Brazil,N,N,N,Finance,NA,NA,NA,The Hustler
United States,N,N,N,Construction and Engineering,1898,Relation,NA,The Hustler
Peru,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Argentina,N,N,N,Health care,1921,NA,-6,The Consistent
Taiwan,Y,N,N,Manufacturing,1949,NA,22,The Consistent
United States,N,N,N,Energy,NA,Relation,NA,The Consistent
Taiwan,Y,N,N,Manufacturing,1949,Founder,21,The Consistent
Australia,Y,Y,N,Finance,1980,NA,50,The Consistent
United States,Y,N,N,Retail,NA,Founder,NA,The Hustler
United States,N,N,N,Media,NA,NA,NA,The Ghost
United States,N,N,N,Media,NA,NA,NA,The Ghost
United States,Y,N,N,Energy,NA,NA,NA,The Ghost
Malaysia,Y,N,N,Diversified,1975,NA,40,The Consistent
Mexico,Y,N,N,Finance,1948,Founder,18,The Ghost
United States,Y,N,N,Real Estate,1979,NA,41,The Consistent
Germany,N,N,N,Retail,1891,NA,-50,The Consistent
Spain,N,N,N,Investments,1938,Relation,-4,The Consistent
Turkey,N,Y,N,Diversified,NA,Relation,NA,The Consistent
United States,Y,N,N,Manufacturing,1970,Founder,29,The Consistent
United States,N,Y,N,Technology,1969,Founder,34,The Ghost
United States,N,Y,N,Real Estate,1938,Relation,-2,The Hustler
France,Y,N,N,Investments,NA,NA,NA,The Ghost
United States,Y,Y,N,Software,NA,Founder,NA,The Hustler
Germany,N,N,N,Retail,1891,Relation,-53,The Consistent
Indonesia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
United States,N,Y,N,Sports,1947,Relation,2,The Hustler
Germany,Y,N,N,Automotive,NA,NA,NA,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Hustler
Brazil,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Germany,N,N,N,Retail,1891,NA,-56,The Consistent
United States,Y,Y,Y,Finance,1995,Founder,49,The Hustler
Hong Kong,N,N,N,Retail,1981,Chairman,34,The Consistent
Hong Kong,N,N,N,Real Estate,1971,Founder,23,The Consistent
Germany,N,N,N,Retail,1891,Relation,-58,The Consistent
United States,Y,Y,N,Technology,1975,Leadership,26,The Hustler
Mexico,Y,Y,N,Metals and Mining,1991,Founder,43,The Consistent
Brazil,Y,N,N,Fashion and Retail,1971,Founder,22,The Consistent
United States,Y,Y,N,Technology,1978,NA,29,The Consistent
Ireland,Y,N,N,Finance,1995,Founder,45,The Consistent
Canada,Y,N,N,Construction and Engineering,1978,NA,28,The Consistent
Germany,N,N,N,Retail,1891,NA,-60,The Consistent
United States,N,N,N,Media,NA,NA,NA,The Ghost
Switzerland,Y,N,N,Energy,NA,Founder,NA,The Hustler
Taiwan,N,N,N,Manufacturing,1949,Relation,-4,The Consistent
Sweden,N,N,N,Retail,1947,Inherited,-3,The Hustler
China,Y,N,N,Manufacturing,NA,NA,NA,The Ghost
Canada,N,N,N,Real Estate,1948,Relation,-7,The Consistent
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Russia,Y,N,N,Real Estate,1992,Investor,40,The Hustler
United States,Y,Y,N,Finance,1995,Founder,40,The Hustler
India,Y,N,N,Real Estate,1980,NA,25,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
United States,N,Y,N,Real Estate,NA,NA,NA,The Ghost
Philippines,Y,N,N,Retail,NA,NA,NA,The Hustler
United States,Y,Y,N,Finance,1992,NA,36,The Consistent
Hong Kong,Y,N,N,Real Estate,1994,Founder/Chairman,38,The Consistent
United States,Y,Y,Y,Finance,1989,Founder,33,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent
United States,N,Y,N,Media,NA,NA,NA,The Ghost
Indonesia,N,N,N,Manufacturing,1932,NA,-25,The Consistent
United States,N,Y,N,Finance,NA,NA,NA,The Ghost
United States,N,Y,N,Sports,NA,NA,NA,The Hustler
United States,Y,N,N,Real Estate,2003,Founder,41,The Consistent
Taiwan,N,N,N,Technology,NA,NA,NA,The Ghost
China,Y,Y,N,Software,1995,NA,32,The Hustler
Poland,Y,N,N,Finance,1996,Founder,35,The Hustler
Ukraine,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
China,Y,Y,N,Health care,1995,NA,31,The Consistent
Germany,N,N,N,Retail,1891,NA,-76,The Consistent
Germany,N,Y,N,Investments,1862,NA,-105,The Consistent
Ukraine,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
United States,N,Y,Y,Sports,NA,NA,NA,The Hustler
Russia,N,N,N,Energy,NA,NA,NA,The Ghost
United States,Y,Y,N,Finance,2001,NA,32,The Consistent
Russia,Y,Y,N,Metals and Mining,1997,NA,27,The Consistent
Russia,Y,Y,N,Finance,NA,NA,NA,The Consistent
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost
Germany,N,N,N,Retail,1891,Relation,-82,The Consistent
United States,Y,Y,Y,Fashion and Retail,1996,Founder,24,The Consistent
United States,N,N,N,Construction and Engineering,NA,NA,NA,The Ghost
India,N,N,N,Energy,NA,NA,NA,The Ghost
India,N,Y,Y,Health care,NA,NA,NA,The Hustler
Germany,N,N,N,Retail,1891,NA,-88,The Consistent
Germany,N,Y,N,Diversified,NA,Relation,NA,The Hustler
Saudi Arabia,N,N,N,Finance,1957,NA,NA,The Consistent
Australia,Y,N,N,Real Estate,NA,Investor,NA,The Hustler
Canada,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
Indonesia,Y,N,N,Diversified,1948,Founder,19,The Consistent
Morocco,N,Y,N,Finance,NA,NA,NA,The Consistent
United States,N,Y,Y,Retail,NA,NA,NA,The Consistent
France,Y,Y,Y,Logistics,1978,NA,42,The Consistent
United States,Y,Y,N,Service,1975,Founder,34,The Consistent
Italy,Y,N,N,Construction and Engineering,NA,NA,NA,The Hustler
United States,Y,Y,N,Sports,NA,NA,NA,The Hustler
Indonesia,N,Y,N,Diversified,NA,NA,NA,The Consistent
Sweden,N,N,N,Diversified,1939,Relation,-6,The Consistent
Greece,N,N,N,Finance,NA,Relation,NA,The Consistent
Mexico,N,Y,N,Finance,1992,Founder,45,The Consistent
China,Y,N,N,Construction and Engineering,1993,NA,46,The Consistent
Monaco,Y,N,N,Fashion and Retail,1960,NA,12,The Consistent
United States,Y,Y,N,Media,1981,Founder,34,The Consistent
Chile,N,N,Y,Finance,1937,NA,-14,The Consistent
United Kingdom,Y,N,N,Real Estate,NA,Founder,NA,The Consistent
United States,N,N,N,Health care,1979,Founder,38,The Ghost
Russia,Y,Y,N,Energy,1993,President,41,The Consistent
Hong Kong,N,N,N,Real Estate,1961,NA,9,The Consistent
China,Y,Y,N,Real Estate,1990,Chairman,38,The Consistent
Guernsey,Y,N,N,Finance,1981,Founder,29,The Consistent
Brazil,N,N,N,Retail,NA,NA,NA,The Hustler
Singapore,Y,N,N,Real Estate,1995,Founder,42,The Consistent
Kazakhstan,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent
Israel,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent
South Korea,N,N,N,Finance,1958,NA,4,The Consistent
Switzerland,Y,N,N,Energy,NA,NA,NA,The Ghost
United States,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
India,N,N,N,Service,1959,Chairman,1,The Consistent
Indonesia,N,N,N,Retail,1958,Relation,10,The Ghost
New Zealand,N,N,N,Investments,1986,Founder,28,The Consistent
United States,Y,N,N,Energy,1985,Founder,27,The Consistent
China,Y,Y,N,Construction and Engineering,1994,Investor,34,The Consistent
China,Y,N,N,Manufacturing,1996,Founder,35,The Consistent
China,Y,N,Y,Health care,1998,NA,37,The Hustler
France,N,N,N,Health care,1929,NA,-35,The Consistent
China,Y,Y,N,Investments,NA,NA,NA,The Consistent
France,Y,Y,N,Health care,1988,Founder,25,The Consistent
Switzerland,N,N,N,Health care,1954,Relation,-10,The Hustler
Hong Kong,Y,N,N,Manufacturing,1992,Founder,28,The Consistent
France,N,N,N,Health care,1929,NA,-37,The Consistent
Turkey,N,N,N,Finance,NA,Relation,NA,The Consistent
China,Y,N,N,Software,2012,Founder,49,The Hustler
China,Y,N,N,Energy,1994,NA,27,The Consistent
United Kingdom,N,Y,N,Metals and Mining,NA,NA,NA,The Ghost
China,Y,N,Y,Media,1999,Chairman,29,The Consistent
Hong Kong,Y,N,N,Manufacturing,1990,Founder/Chairman,21,The Consistent
Brazil,N,Y,Y,Finance,1966,NA,-4,The Consistent
United States,Y,Y,N,Technology,2008,Founder,39,The Consistent
China,Y,Y,N,Manufacturing,2002,NA,32,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent
Brazil,N,N,N,Manufacturing,1967,Relation,NA,The Hustler
United States,Y,Y,Y,Investments,1964,Founder,38,The Consistent
Egypt,Y,N,N,Retail,NA,NA,NA,The Consistent
France,Y,N,N,Construction and Engineering,1957,Founder,26,The Consistent
United States,Y,Y,Y,Technology,1984,NA,51,The Consistent
Brazil,Y,N,N,Finance,1960,Founder,25,The Consistent
Taiwan,Y,N,N,Real Estate,1965,NA,30,The Consistent
Spain,N,N,N,Finance,1857,NA,-80,The Consistent
South Africa,Y,N,N,Finance,1973,Founder,36,The Consistent
Germany,Y,N,N,Technology,NA,NA,NA,The Consistent
Australia,Y,N,N,Retail,NA,NA,NA,The Consistent
Austria,N,Y,N,Logistics,1955,Relation,15,The Consistent
Australia,Y,N,N,Diversified,NA,Investor,NA,The Hustler
Mexico,Y,Y,N,Finance,1884,Former Ceo,-58,The Consistent
Spain,Y,N,N,Real Estate,1980,Founder,39,The Consistent
Canada,Y,N,Y,Finance,1983,Founder,42,The Consistent
United States,Y,Y,N,Gaming,NA,Founder,NA,The Consistent
United States,N,N,N,Food and Beverage,NA,NA,NA,The Consistent
United States,N,N,N,Manufacturing,1947,Relation,2,The Consistent
South Korea,N,Y,N,Technology,1938,NA,-8,The Consistent
Hong Kong,Y,N,N,Automotive,1987,CEO,40,The Consistent
India,Y,N,N,Software,1981,NA,35,The Consistent
Spain,Y,N,N,Construction and Engineering,1983,CEO/Chairman,36,The Consistent
Brazil,Y,N,N,Health care,NA,Founder,NA,The Consistent
China,Y,Y,N,Health care,1992,NA,44,The Hustler
United States,N,Y,N,Media,1987,Founder,38,The Consistent
United States,Y,Y,N,Service,NA,NA,NA,The Ghost
United States,N,Y,N,Service,NA,NA,NA,The Consistent
Malaysia,Y,N,N,Construction and Engineering,NA,Founder,NA,The Consistent
United States,N,Y,N,Sports,NA,NA,NA,The Hustler
Belgium,Y,N,N,Metals and Mining,NA,Founder,NA,The Consistent
Macau,Y,N,N,Real Estate,1997,CEO/Chairman,47,The Hustler
Portugal,Y,N,N,Investments,NA,NA,NA,The Ghost
Austria,Y,N,N,Construction and Engineering,1852,President And Ceo,-102,The Consistent
United States,N,N,N,Service,NA,NA,NA,The Consistent
China,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Germany,N,N,N,Fashion and Retail,1927,Relation,-29,The Consistent
United States,Y,Y,Y,Finance,1989,Founder,33,The Consistent
Hong Kong,Y,N,Y,Real Estate,1994,Founder,38,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
Germany,N,N,N,Retail,1876,NA,-82,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1991,Founder,32,The Consistent
Canada,Y,Y,N,Energy,1989,Chairman,29,The Consistent
Poland,Y,N,N,Investments,NA,NA,NA,The Ghost
Brazil,Y,Y,N,Construction and Engineering,1979,Founder,23,The Hustler
United Kingdom,Y,N,N,Finance,1998,NA,38,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
United States,N,Y,N,Investments,1988,Founder,27,The Consistent
Egypt,Y,Y,N,Diversified,1952,Relation,-10,The Consistent
South Africa,Y,N,N,Metals and Mining,1997,Founder/Chairman,36,The Consistent
China,Y,Y,Y,Real Estate,NA,NA,NA,The Hustler
Australia,N,N,N,Manufacturing,1948,NA,-15,The Consistent
Russia,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent
China,Y,Y,N,Architecture,1992,Founder,27,The Hustler
China,Y,Y,N,Media,2000,Chairman,34,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
China,N,Y,N,Investments,1994,NA,25,The Consistent
Brazil,Y,Y,N,Finance,2008,NA,40,The Consistent
United States,Y,Y,N,Finance,1985,Leadership,15,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
Canada,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Retail,1979,Founder,32,The Hustler
Germany,N,N,N,Automotive,1958,Relation,NA,The Consistent
United States,Y,Y,N,Automotive,NA,NA,NA,The Consistent
Spain,Y,N,N,Service,1956,Founder,22,The Hustler
France,Y,N,N,Food and Beverage,1959,NA,23,The Consistent
Peru,Y,N,N,Diversified,1967,Founder,29,The Consistent
United States,N,N,N,Agriculture,NA,NA,NA,The Ghost
Ireland,Y,Y,N,Manufacturing,1973,Founder,34,The Consistent
United States,N,Y,N,Food and Beverage,1869,Relation,-74,The Consistent
United States,Y,Y,N,Health care,1990,NA,47,The Consistent
Singapore,Y,N,N,Energy,1963,Founder,20,The Consistent
South Korea,N,N,N,Diversified,1947,Relation,2,The Consistent
India,Y,N,N,Real Estate,1969,NA,25,The Consistent
Germany,N,N,N,Manufacturing,1950,NA,4,The Consistent
Japan,Y,N,N,Real Estate,1974,Founder,29,The Consistent
Ireland,Y,Y,N,Media,1904,Chairman,-33,The Ghost
Chile,N,Y,N,Diversified,NA,Relation,NA,The Consistent
United States,Y,Y,N,Health care,1949,NA,0,The Consistent
United States,Y,Y,N,Retail,1938,Relation,-12,The Hustler
Thailand,Y,N,N,Investments,1986,Founder,37,The Consistent
Indonesia,Y,N,N,Investments,1980,Founder,30,The Consistent
United States,Y,Y,N,Finance,1977,Founder,35,The Ghost
Cyprus,Y,N,N,Real Estate,NA,Founder,NA,The Hustler
Spain,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Mexico,N,N,N,Construction and Engineering,1906,Relation,-39,The Ghost
Colombia,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost
Russia,Y,Y,N,Fashion and Retail,1998,Founder,43,The Consistent
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Hustler
United States,Y,Y,Y,Finance,1992,NA,35,The Consistent
United States,N,N,N,Retail,1973,Founder,25,The Ghost
Russia,Y,N,N,Logistics,NA,NA,NA,The Hustler
India,N,N,N,Manufacturing,1988,NA,29,The Consistent
United States,N,Y,Y,Media,1969,Relation,9,The Consistent
Italy,Y,Y,N,Retail,1987,Founder,28,The Consistent
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
United States,Y,Y,N,Media,1995,Founder,35,The Consistent
China,Y,N,N,Education,1993,Founder,32,The Hustler
Greece,Y,Y,N,Logistics,NA,NA,NA,The Ghost
China,Y,Y,N,Health care,NA,NA,NA,The Hustler
China,Y,N,N,Real Estate,NA,NA,NA,The Hustler
United States,Y,Y,N,Metals and Mining,1974,Employee,9,The Consistent
China,Y,N,N,Technology,2004,Founder,39,The Consistent
India,N,Y,N,Real Estate,1993,NA,27,The Consistent
United States,Y,Y,N,Finance,2001,Founder,39,The Hustler
Russia,Y,Y,N,Manufacturing,2002,President,35,The Hustler
China,Y,N,Y,Technology,2004,Chairman,36,The Consistent
Canada,Y,Y,N,Technology,NA,NA,NA,The Ghost
India,N,N,N,Fashion and Retail,1999,NA,28,The Consistent
United States,N,N,N,Technology,1985,Founder,23,The Ghost
India,N,N,N,Service,1953,NA,-20,The Consistent
Turkey,Y,N,N,Food and Beverage,2005,NA,33,The Consistent
Brazil,N,N,N,Finance,1966,NA,-8,The Consistent
Switzerland,Y,N,N,Finance,1969,NA,40,The Consistent
United States,Y,Y,N,Finance,1961,Founder,40,The Consistent
United States,Y,N,N,Media,NA,Founder,NA,The Consistent
United States,N,Y,Y,Finance,1958,Relation,29,The Hustler
United States,N,Y,N,Retail,NA,NA,NA,The Hustler
France,Y,N,N,Retail,NA,NA,NA,The Consistent
Indonesia,N,Y,N,Real Estate,1961,Founder,30,The Consistent
Japan,Y,N,N,Technology,1961,Founder,35,The Ghost
Italy,Y,N,N,Construction and Engineering,1936,Relation,3,The Hustler
United States,Y,N,N,Automotive,1965,Founder,29,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Hustler
France,Y,N,N,Metals and Mining,1990,NA,55,The Consistent
United States,Y,N,N,Investments,1962,Investor,24,The Consistent
United Kingdom,N,N,N,Retail,NA,NA,NA,The Ghost
Russia,Y,Y,N,Technology,NA,NA,NA,The Consistent
Turkey,Y,N,N,Media,1961,Founder,25,The Hustler
Germany,N,Y,N,Media,1898,NA,-42,The Consistent
United States,Y,Y,N,Technology,1989,Founder,52,The Hustler
United States,N,Y,N,Food and Beverage,1947,Relation,4,The Consistent
Germany,Y,N,N,Manufacturing,1985,Founder,41,The Consistent
United Kingdom,Y,N,N,Technology,1972,Founder,27,The Consistent
United States,Y,Y,Y,Finance,1981,NA,36,The Consistent
Germany,Y,N,N,Health care,1987,Founder,41,The Consistent
Brazil,Y,Y,N,Real Estate,1962,Founder,19,The Hustler
Malaysia,Y,N,N,Gaming,1995,Founder,48,The Hustler
Turkey,Y,N,N,Diversified,NA,NA,NA,The Consistent
Oman,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Australia,Y,Y,N,Investments,1994,Founder,45,The Consistent
Nigeria,Y,N,N,Energy,1991,NA,41,The Consistent
India,Y,N,N,Health care,1990,Founder,40,The Consistent
United States,N,Y,N,Energy,NA,Founder,NA,The Consistent
Turkey,Y,N,N,Diversified,NA,NA,NA,The Hustler
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
Indonesia,N,Y,N,Metals and Mining,NA,NA,NA,The Hustler
United States,N,Y,N,Energy,NA,NA,NA,The Ghost
United States,Y,Y,Y,Investments,1985,NA,34,The Hustler
United States,N,Y,Y,Metals and Mining,NA,NA,NA,The Consistent
Italy,Y,N,N,Fashion and Retail,1995,Founder,43,The Consistent
Italy,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
India,N,N,N,Technology,1979,Relation,27,The Hustler
China,Y,Y,N,Retail,NA,NA,NA,The Hustler
United States,Y,Y,Y,Investments,1982,Founder,28,The Consistent
Turkey,Y,Y,N,Diversified,NA,NA,NA,The Hustler
India,Y,N,N,Software,1981,Founder/Chairman,26,The Consistent
India,Y,Y,N,Software,1981,NA,26,The Consistent
India,N,N,N,Fashion and Retail,NA,NA,NA,The Hustler
China,Y,N,N,Manufacturing,1995,Founder,39,The Consistent
Germany,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,Y,Finance,1986,NA,29,The Hustler
Canada,Y,Y,N,Finance,1950,Relation,-1,The Ghost
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent
Russia,Y,N,N,Energy,NA,NA,NA,The Ghost
United States,Y,Y,N,Finance,1995,Founder,35,The Consistent
China,Y,N,N,Diversified,1992,Chairman,30,The Consistent
Norway,Y,N,N,Service,1996,NA,34,The Consistent
China,Y,Y,N,Health care,NA,NA,NA,The Consistent
Spain,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1995,NA,31,The Consistent
United States,Y,Y,N,Finance,1995,NA,31,The Consistent
China,Y,N,Y,Retail,NA,NA,NA,The Ghost
Canada,Y,Y,Y,Technology,NA,NA,NA,The Ghost
United Kingdom,N,N,N,Media,1894,Relation,-74,The Hustler
United States,Y,N,N,Energy,NA,NA,NA,The Ghost
China,Y,N,N,Retail,NA,NA,NA,The Hustler
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
South Korea,N,Y,N,Diversified,1938,Relation,-33,The Consistent
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
China,Y,N,N,Retail,NA,NA,NA,The Hustler
Russia,Y,N,N,Retail,NA,NA,NA,The Ghost
Hong Kong,N,Y,N,Gaming,NA,NA,NA,The Consistent
India,Y,N,N,Gaming,NA,NA,NA,The Ghost
Saudi Arabia,N,N,N,Construction and Engineering,NA,NA,NA,The Consistent
China,Y,Y,Y,Metals and Mining,NA,NA,NA,The Ghost
Lebanon,N,N,N,Construction and Engineering,NA,Relation,NA,The Consistent
Brazil,Y,Y,N,Construction and Engineering,1976,Founder,NA,The Hustler
Saudi Arabia,N,N,N,Finance,NA,NA,NA,The Ghost
Canada,Y,N,N,Real Estate,1958,Founder,38,The Hustler
United States,Y,N,N,Investments,1962,Vice Chairman,38,The Consistent
United States,Y,Y,N,Logistics,1970,NA,43,The Consistent
United States,Y,N,N,Media,1956,Founder,27,The Consistent
