Name,Worth,Age,Country,Self_Made,dropped_out,bachelors_degree,masters_degree,MBA,phd_or_professional_degree,other_degrees,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector,Gender,detail1,detail2,number_of_degress,presence_on_list,Continent/Region
Hur Young-In,1.6,67,South Korea,N,N,Y,N,N,N,NA,2016,2,0,0,0,Food and Beverage,,"bakeries, fast food","Bachelor of Arts / Economics, Kyung Hee University",1,100%,Asia
Hamilton James,1.6,65,United States,Y,N,Y,N,Y,N,NA,2008,6,2,2,3,Investments,,"investments, Self Made","Bachelor of Arts / Science, Harvard University; Master of Business Administration, Harvard University",2,60%,North America
George Joseph,1.6,95,United States,Y,N,Y,N,N,N,NA,2007,10,1,1,1,Finance,,"insurance, Self Made","Bachelor of Arts / Science, Harvard University",1,91%,North America
"Jim Justice, II.",1.6,65,United States,N,N,Y,N,Y,N,NA,2012,6,0,0,0,Metals and Mining,,coal,"Bachelor of Arts / Science, Marshall University; Master of Business Administration, Marshall University",2,100%,North America
Johannes Kaercher,1.6,66,Germany,N,,,,,,,2016,2,0,0,0,Manufacturing,,"vacuums, cleaning products",NA,NA,100%,Europe
Alexander Karp,1.6,49,United States,Y,N,Y,N,N,Y,NA,2015,3,0,0,0,Software,,"software firm, Self Made","Doctor of Jurisprudence, Stanford University; Bachelor of Arts / Science, Haverford College",2,100%,North America
Vinod Khosla,1.6,62,United States,Y,N,Y,Y,Y,N,NA,2008,10,0,0,0,Investments,,"venture capital, Self Made","Bachelor of Arts / Science, Indian Institute of Technology; Master of Science, Carnegie Mellon University; Master of Business Administration, Stanford Graduate School of Business",3,100%,North America
Kim Nam-Jung,1.6,44,South Korea,N,N,Y,N,Y,N,NA,2015,3,0,0,0,Food and Beverage,,food,"Bachelor of Arts / Science, Korea University; Master of Business Administration, Stephen M. Ross School of Business",2,100%,Asia
Marc Lasry,1.6,56,United States,Y,N,Y,N,N,Y,NA,2008,10,0,0,0,Investments,,"hedge funds, Self Made","Bachelor of Arts / Science, Clark University; Doctor of Jurisprudence, New York Law School",2,100%,North America
Christian Latouche,1.6,76,France,Y,,,,,,,2017,1,0,0,0,Service,,"accounting services, Self Made",NA,NA,100%,Europe
Thomas Lau,1.6,62,Hong Kong,N,,,,,,,2015,3,0,0,0,Retail,,department stores,NA,NA,100%,Asia
Jane Lauder,1.6,44,United States,N,,,,,,,2014,4,0,0,0,Fashion and Retail,,cosmetics,NA,NA,100%,North America
Aerin Lauder Zinterhofer,1.6,46,United States,N,,,,,,,2014,4,0,0,0,Fashion and Retail,,cosmetics,NA,NA,100%,North America
Lee Boo-Jin,1.6,46,South Korea,N,N,Y,N,N,N,NA,2012,6,0,0,0,Diversified,,computer services/tourism,"Bachelor of Arts / Science, Yonsei University",1,100%,Asia
Thai Lee,1.6,58,United States,Y,N,Y,N,Y,N,NA,2017,1,0,0,0,Technology,,"IT provider, Self Made","Bachelor of Arts / Science, Amherst College; Master of Business Administration, Harvard Business School",2,100%,North America
Li Li,1.6,53,China,Y,N,Y,N,N,N,NA,2011,7,0,0,0,Health care,,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Sichuan University",1,100%,Asia
Lin Tianfu,1.6,54,Hong Kong,Y,,,,,,,2015,2,1,1,1,Fashion and Retail,,"footwear, apparel, Self Made",NA,NA,67%,Asia
Ma Hong,1.6,49,China,Y,,,,,,,2015,3,0,0,0,Fashion and Retail,,"fashion retail, Self Made",NA,NA,100%,Asia
Billy Joe (Red) McCombs,1.6,89,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Media,,"real estate, oil, cars, Self Made","Drop Out, The University of Texas at Austin",0,100%,North America
P.N.C. Menon,1.6,68,Oman,Y,,,,,,,2014,4,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,Middle East
Mario Moretti Polegato,1.6,64,Italy,Y,,,,,,,2007,11,0,0,0,Fashion and Retail,,"shoes, Self Made",NA,NA,100%,Europe
Robert Mouawad,1.6,72,Lebanon,N,,,,,,,2015,3,0,0,0,Fashion and Retail,,fine jewelry,NA,NA,100%,Middle East
Kerr Neilson,1.6,67,Australia,Y,N,Y,N,N,N,NA,2008,10,0,0,0,Investments,,"investment, Self Made","Bachelor of Arts / Science, University of Cape Town",1,100%,Oceania
Nandan Nilekani,1.6,61,India,Y,N,Y,N,N,N,NA,2007,10,1,1,1,Software,,"software services, Self Made","Bachelor of Arts / Science, Indian Institute of Technology",1,91%,Asia
Nihat Ozdemir,1.6,66,Turkey,Y,,,,,,,2011,5,1,1,2,Diversified,,"diversified, Self Made",NA,NA,71%,Middle East
Roger Penske,1.6,80,United States,Y,Y,N,N,N,N,NA,2007,10,1,1,1,Automotive,,"cars, Self Made","Drop Out, Lehigh University",0,91%,North America
"H. Ross Perot, Jr.",1.6,58,United States,N,N,Y,N,N,N,NA,2014,4,0,0,0,Real Estate,,real estate,"Bachelor of Arts / Science, Vanderbilt University",1,100%,North America
Horst Julius Pudwill,1.6,72,Germany,Y,N,N,Y,N,N,NA,2014,4,0,0,0,Manufacturing,,"manufacturing, Self Made","Master of Science in Engineering, Technical College in Flensburg",1,100%,Europe
Fayez Sarofim,1.6,88,United States,N,N,Y,N,Y,N,NA,2007,7,1,1,4,Investments,,money management,"Bachelor of Arts / Science, University of California Berkeley; Master of Business Administration, Harvard University",2,64%,North America
Yuri Shefler,1.6,49,Russia,Y,N,Y,N,N,N,NA,2015,3,0,0,0,Food and Beverage,,"alcohol, Self Made","Bachelor of Arts / Science, Plekhanov Russian University of Economics",1,100%,Europe
Ben Silbermann,1.6,34,United States,Y,N,Y,N,N,N,NA,2016,2,0,0,0,Software,,"Pinterest, Self Made","Bachelor of Arts / Science, Yale University",1,100%,North America
Thomas Steyer,1.6,59,United States,Y,N,Y,N,Y,N,NA,2008,7,1,1,3,Investments,,"hedge funds, Self Made","Bachelor of Arts / Science, Yale University; Master of Business Administration, Stanford University",2,70%,North America
Petter Stordalen,1.6,54,Norway,Y,,,,,,,2012,6,0,0,0,Service,,"hotels, Self Made",NA,NA,100%,Europe
Gabriele Stoschek,1.6,n/a,Germany,N,,,,,,,2017,1,0,0,0,Automotive,,auto parts,NA,NA,100%,Europe
Su Suyu,1.6,68,China,Y,,,,,,,2017,1,0,0,0,Energy,,"utilities, real estate, Self Made",NA,NA,100%,Asia
David Teoh,1.6,60,Australia,Y,,,,,,,2016,2,0,0,0,Technology,,"telecom, Self Made",NA,NA,100%,Oceania
Alan N. Trefler,1.6,61,United States,Y,,,,,,,2017,1,0,0,0,Software,,"software, Self Made",NA,NA,100%,North America
Roman Trotsenko,1.6,46,Russia,Y,N,N,N,N,Y,N,2017,1,0,0,0,Logistics,,"transport, engineering, real estate, Self Made","Master of Laws, Moscow State University",1,100%,Europe
Wang Qingtao,1.6,55,China,Y,,,,,,,2015,3,0,0,0,Metals and Mining,,"steel smelting, Self Made",NA,NA,100%,Asia
Wen Pengcheng,1.6,54,China,Y,,,,,,,2017,1,0,0,0,Agriculture,,"agribusiness, Self Made",NA,NA,100%,Asia
Gustav Magnar Witzoe,1.6,23,Norway,N,,,,,,,2016,2,0,0,0,Agriculture,,fish farming,NA,NA,100%,Europe
Wong Kwong Yu,1.6,47,China,Y,,,,,,,2007,8,1,1,3,Retail,,"retail, Self Made",NA,NA,73%,Asia
Ye Cheng,1.6,55,China,Y,,,,,,,2013,5,0,0,0,Diversified,,"conglomerate, Self Made",NA,NA,100%,Asia
Susanne Zimmermann von Siefart <c2>,1.6,60,Germany,N,,,,,,,2016,2,0,0,0,Manufacturing,,"vacuums, home cleaning products",NA,NA,100%,Europe
Marcel Adams,1.5,96,Canada,Y,,,,,,,2013,3,1,1,2,Real Estate,,"real estate, Self Made",NA,NA,60%,North America
Aziz Akhannouch,1.5,56,Morocco,N,N,N,N,Y,N,NA,2014,4,0,0,0,Oil,,"petroleum, diversified","Master of Business Administration, Universite de Sherbrooke",1,100%,Africa
"Herbert Allen, Jr.",1.5,77,United States,N,N,Y,N,N,N,NA,2007,9,1,1,2,Investments,,investment banking,"Bachelor of Arts / Science, Williams College",1,82%,North America
Albert Berner,1.5,81,Germany,Y,,,,,,,2015,3,0,0,0,Manufacturing,,"fasteners, Self Made",NA,NA,100%,Europe
Ron Burkle,1.5,64,United States,Y,N,N,N,N,N,N,2011,7,0,0,0,Investments,,"supermarkets, investments, Self Made","Diploma, High School",1,100%,North America
Chang Pyung-Soon,1.5,66,South Korea,Y,,,,,,,2014,4,0,0,0,Service,,"educational services, Self Made","educational services, Self Made",1,100%,Asia
Chao Teng-Hsiung,1.5,73,Taiwan,Y,,,,,,,2010,8,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,Asia
Chen Liying,1.5,41,China,Y,,,,,,,2017,1,0,0,0,Logistics,,"package delivery, Self Made",NA,NA,100%,Asia
Chen Qixing,1.5,57,China,Y,,,,,,,2017,1,0,0,0,Manufacturing,,"electronics components, Self Made",NA,NA,100%,Asia
Kiat Chiaravanont,1.5,n/a,Thailand,N,,,,,,,2015,2,1,1,1,Food and Beverage,,food,NA,NA,67%,Asia
Jean-Paul Clozel,1.5,61,Switzerland,Y,,,,,,,2017,1,0,0,0,Health care,,"pharmaceuticals, Self Made",NA,NA,100%,Europe
"Robert Coyiuto, Jr.",1.5,64,Philippines,N,,,,,,,2013,5,0,0,0,Energy,,power,NA,NA,100%,Asia
Belmiro de Azevedo,1.5,79,Portugal,Y,N,Y,N,Y,N,NA,2007,10,1,1,1,Diversified,,"retail, Self Made","Bachelor of Arts / Science, Oporto University; Master of Business Administration, Harvard University",2,91%,Europe
John de Mol,1.5,62,Netherlands,Y,,,,,,,2007,11,0,0,0,Media,,"television, Self Made",NA,NA,100%,Europe
Benjamin de Rothschild,1.5,53,Switzerland,N,,,,,,,2014,4,0,0,0,Finance,,banking,NA,NA,100%,Europe
Dou Zhenggang,1.5,63,China,Y,,,,,,,2008,4,1,1,6,Energy,,"energy, chemicals, Self Made",NA,NA,40%,Asia
Charles Dunstone,1.5,53,United Kingdom,Y,,,,,,,2008,7,1,1,3,Telecom,,"mobile phones, Self Made",NA,NA,70%,Europe
Bulent Eczacibasi,1.5,67,Turkey,N,N,Y,Y,N,N,NA,2007,10,1,1,1,Diversified,,"pharmaceuticals, diversified","Bachelor of Arts / Science, University College London; Master of Science, Massachusetts Institute of Technology",2,91%,Middle East
Faruk Eczacibasi,1.5,62,Turkey,N,,,,,,,2008,9,1,1,1,Diversified,,"pharmaceuticals, diversified",NA,NA,90%,Middle East
David Einhorn,1.5,48,United States,Y,N,Y,N,N,N,NA,2012,6,0,0,0,Investments,,"hedge funds, Self Made","Bachelor of Arts / Science, Cornell University",1,100%,North America
Fang Tonghua,1.5,54,China,Y,,,,,,,2016,2,0,0,0,Health care,,"pharmaceuticals, Self Made",NA,NA,100%,Asia
Robert Fisher,1.5,63,United States,N,N,Y,N,Y,N,NA,2007,10,1,1,1,Service,,Gap,"Bachelor of Arts / Science, Princeton University; Master of Business Administration, Stanford University",2,91%,North America
William Fisher,1.5,59,United States,N,N,Y,N,Y,N,NA,2007,8,1,1,3,Retail,,Gap,"Bachelor of Arts / Science, Princeton University; Master of Business Administration, Stanford University",2,73%,North America
Martha Ford,1.5,91,United States,N,,,,,,,2015,3,0,0,0,Automotive,,Ford Motor,NA,NA,100%,North America
Fu Guangming,1.5,63,China,Y,,,,,,,2010,6,1,1,2,Agriculture,,"poultry, Self Made",NA,NA,75%,Asia
William Fung,1.5,68,Hong Kong,N,N,Y,N,Y,N,NA,2007,11,0,0,0,Service,,sourcing,"Bachelor of Arts / Science, Princeton University; Master of Business Administration, Harvard University",2,100%,Asia
Mario Gabelli,1.5,74,United States,Y,N,Y,N,Y,N,NA,2008,7,2,2,2,Investments,,"money management, Self Made","Bachelor of Arts / Science, Fordham University; Master of Business Administration, Columbia Business School",2,70%,North America
Luca Garavoglia,1.5,48,Italy,N,,,,,,,2017,1,0,0,0,Food and Beverage,,spirits,NA,NA,100%,Europe
Jayme Garfinkel,1.5,71,Brazil,N,N,Y,N,Y,N,NA,2008,8,2,2,1,Investments,,insurance,"Bachelor of Arts / Science, Universidade de Sao Paulo; Master of Business Administration, Fundacao Getulio Vargas",2,80%,South America
Rolf Gerling,1.5,62,Germany,N,N,Y,N,N,N,NA,2007,11,0,0,0,Finance,,insurance,"Bachelor of Arts / Science, University of Zurich",1,100%,Europe
Alan Gerry,1.5,87,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Media,,"cable television, Self Made","Drop Out, High School",0,100%,North America
Serge Godin,1.5,67,Canada,Y,N,N,N,Y,N,NA,2015,3,0,0,0,Technology,,"information technology, Self Made","Master of Business Administration, Laval University",1,100%,North America
Sergei Gordeev,1.5,44,Russia,Y,N,Y,N,N,N,NA,2017,1,0,0,0,Real Estate,,"real estate, Self Made","Bachelor of Arts / Science, Togliatti Academy of Management",1,100%,Europe
Yusuf Hamied,1.5,80,India,N,N,N,N,N,Y,NA,2010,8,0,0,0,Health care,,pharmaceuticals,"Doctorate, University of Cambridge",1,100%,Asia
David Harding,1.5,55,United Kingdom,Y,N,N,Y,N,N,NA,2012,6,0,0,0,Finance,,"finance, Self Made","Master of Science, University of Cambridge",1,100%,Europe
William Heinecke,1.5,68,Thailand,Y,,,,,,,2015,3,0,0,0,Real Estate,,"hotels, Self Made",NA,NA,100%,Asia
Eduardo Hochschild,1.5,53,Peru,N,N,Y,N,N,N,NA,2012,4,1,1,2,Metals and Mining,,mining,"Bachelor of Arts / Science, Tufts University",1,67%,South America
Hong Seok-Joh,1.5,64,South Korea,N,,,,,,,2016,2,0,0,0,Retail,,convenience stores,NA,NA,100%,Asia
Hu Kaijun,1.5,55,China,Y,,,,,,,2014,4,0,0,0,Health care,,"pharmaceuticals, Self Made",NA,NA,100%,Asia
Huang Chulong,1.5,58,Canada,Y,,,,,,,2015,3,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,North America
Huang Li,1.5,53,China,Y,N,N,Y,N,N,NA,2014,4,0,0,0,Manufacturing,,"imaging systems, Self Made","Master of Science, Huazhong University of Science and Technology",1,100%,Asia
Huang Qiaoling,1.5,58,China,Y,,,,,,,2016,2,0,0,0,Retail,,"amusement parks, Self Made",NA,NA,100%,Asia
Huo Qinghua,1.5,55,China,Y,,,,,,,2013,5,0,0,0,Energy,,"coal, Self Made",NA,NA,100%,Asia
Mitchell Jacobson,1.5,66,United States,N,N,Y,N,N,N,NA,2013,3,1,1,2,Service,,industrial equipment,"Bachelor of Arts / Science, Brandeis University; Law Degree, New York University",2,60%,North America
Ravi Jaipuria,1.5,62,India,N,,,,,,,2013,5,0,0,0,Food and Beverage,,soft drinks,NA,NA,100%,Asia
Jiang Xuefei,1.5,47,China,Y,,,,,,,2017,1,0,0,0,Manufacturing,,"printed circuit boards, Self Made",NA,NA,100%,Asia
Kenji Kasahara,1.5,41,Japan,Y,N,Y,N,N,N,NA,2015,3,0,0,0,Software,,"social network, Self Made","Bachelor of Arts / Science, Tokyo University",1,100%,Asia
Ke Xiping,1.5,56,China,Y,N,N,N,N,N,Y,2010,7,1,1,1,Investments,,"investments, Self Made",Xiamen University,1,88%,Asia
King Pak Fu,1.5,47,Hong Kong,Y,,,,,,,2015,3,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,Asia
Seth Klarman,1.5,59,United States,Y,N,Y,N,Y,N,NA,2013,5,0,0,0,Investments,,"investments, Self Made","Bachelor of Arts / Science, Cornell University; Master of Business Administration, Harvard University",2,100%,North America
Anthony Langley,1.5,62,United Kingdom,Y,,,,,,,2016,2,0,0,0,Manufacturing,,"manufacturing, Self Made",NA,NA,100%,Europe
Lee Seo-Hyun,1.5,43,South Korea,N,N,Y,N,N,N,NA,2012,6,0,0,0,Service,,"computer services, tourism","Bachelor of Arts / Science, Parsons The New School for Design",1,100%,Asia
Rodney Lewis,1.5,63,United States,Y,N,Y,N,N,N,NA,2011,7,0,0,0,Energy,,"natural gas, Self Made","Bachelor of Arts / Science, Texas A&M International University",1,100%,North America
Li Zongsong,1.5,49,China,Y,,,,,,,2017,1,0,0,0,Health care,,"pharmaceuticals, Self Made",NA,NA,100%,Asia
Liang Zhaoxian,1.5,52,China,N,N,Y,N,N,N,NA,2012,3,2,2,2,Manufacturing,,appliances,"Bachelor of Arts / Science, South China University of Technology",1,50%,Asia
David Lichtenstein,1.5,55,United States,Y,,,,,,,2010,8,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,North America
Liu Ming Chung,1.5,54,Brazil,Y,,,,,,,2007,9,2,2,1,Manufacturing,,"paper manufacturing, Self Made",NA,NA,82%,South America
Ana Maria Marcondes Penido Sant'Anna,1.5,61,Brazil,N,N,Y,N,N,N,NA,2013,4,1,1,1,Construction and Engineering,,toll roads,"Bachelor of Arts / Science, Universidade Presbiteriana Mackenzie",1,80%,South America
Kishore Mariwala,1.5,82,India,N,N,Y,Y,N,N,NA,2015,3,0,0,0,Retail,,consumer goods,"Bachelor of Science in Engineering, Bombay University; Master of Science in Engineering, Massachusetts Institute of Technology",2,100%,Asia
Martin Moller Nielsen,1.5,52,Denmark,Y,,,,,,,2016,2,0,0,0,Automotive,,"aircraft leasing, Self Made",NA,NA,100%,Europe
Massimo Moratti,1.5,71,Italy,N,,,,,,,2014,4,0,0,0,Energy,,oil refinery,NA,NA,100%,Europe
Manuel Moroun,1.5,89,United States,Y,N,Y,N,N,N,NA,2009,9,0,0,0,Logistics,,"transportation, Self Made","Bachelor of Arts / Science, University of Notre Dame",1,100%,North America
Charles Munger,1.5,93,United States,Y,Y,N,N,N,Y,NA,2007,11,0,0,0,Investments,,"Berkshire Hathaway, Self Made","Drop Out, University of Michigan; Doctor of Jurisprudence, Harvard University",1,100%,North America
Ezra Nahmad,1.5,71,Monaco,N,,,,,,,2013,5,0,0,0,Investments,,art,NA,NA,100%,Europe
Vikas Oberoi,1.5,46,India,N,N,Y,N,N,N,NA,2007,8,3,3,1,Real Estate,,real estate,"Bachelor of Arts / Science, Bombay University",1,73%,Asia
Neal Patterson,1.5,67,United States,Y,N,Y,N,Y,N,NA,2013,5,0,0,0,Technology,,"health IT, Self Made","Bachelor of Arts / Science, Oklahoma State University; Master of Business Administration, Oklahoma State University",2,100%,North America
Nelson Peltz,1.5,74,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Investments,,"investments, Self Made","Drop Out, University of Pennsylvania Wharton School",0,100%,North America
Jose Isaac Peres,1.5,76,Brazil,Y,N,Y,N,N,N,NA,2012,5,1,1,1,Retail,,"shopping malls, Self Made","Bachelor of Arts / Science, Universidade do Brasil",1,83%,South America
Gregorio Perez Companc,1.5,81,Argentina,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Oil,,"oil & gas, Self Made","Drop Out, High School",0,100%,South America
Qi Jinxing,1.5,54,China,Y,,,,,,,2010,5,2,2,2,Real Estate,,"real estate, Self Made",NA,NA,63%,Asia
Hilton Schlosberg,1.5,64,United Kingdom,Y,,,,,,,2015,3,0,0,0,Food and Beverage,,"energy drinks, Self Made",NA,NA,100%,Europe
Shen Wenrong,1.5,71,China,Y,,,,,,,2008,10,0,0,0,Metals and Mining,,"steel production, Self Made",NA,NA,100%,Asia
Shin Dong-Bin,1.5,62,South Korea,N,N,Y,N,Y,N,NA,2007,10,1,1,1,Fashion and Retail,,retail,"Bachelor of Arts / Science, Aoyama Gakuin University; Master of Business Administration, Columbia Business School",2,91%,Asia
Martua Sitorus,1.5,57,Indonesia,Y,,,,,,,2008,10,0,0,0,Manufacturing,,"palm oil, Self Made",NA,NA,100%,Asia
Frank Stronach,1.5,84,Canada,Y,,,,,,,2011,7,0,0,0,Automotive,,"auto parts, Self Made",NA,NA,100%,North America
Georg Stumpf,1.5,n/a,Austria,Y,,,,,,,2017,1,0,0,0,Real Estate,,"real estate, construction, Self Made",NA,NA,100%,Europe
Tang Hsiang-chien,1.5,93,Hong Kong,Y,,,,,,,2015,2,1,1,1,Manufacturing,,"textiles, electronics, Self Made",NA,NA,67%,Asia
Sukanto Tanoto,1.5,67,Indonesia,Y,,,,,,,2008,10,0,0,0,Diversified,,"diversified, Self Made",NA,NA,100%,Asia
Alain Taravella,1.5,69,France,Y,,,,,,,2012,6,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,Europe
Jim Thompson,1.5,77,United States,Y,N,Y,N,N,N,NA,2008,6,1,1,4,Logistics,,"logistics, Self Made","Bachelor of Arts / Science, San Jose State University",1,60%,North America
Wichai Thongtang,1.5,70,Thailand,Y,,,,,,,2013,4,1,1,1,Investments,,"investments, Self Made",NA,NA,80%,Asia
Tung Chee Hwa,1.5,79,Hong Kong,N,,,,,,,2016,2,0,0,0,Logistics,,shipping,NA,NA,100%,Asia
Manuel Villar,1.5,67,Philippines,Y,,,,,,,2015,3,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,Asia
Wang Miaotong,1.5,59,China,Y,,,,,,,2017,1,0,0,0,Automotive,,"auto parts, Self Made",NA,NA,100%,Asia
Wang Wenjing,1.5,52,China,Y,N,Y,N,N,N,NA,2010,6,1,1,2,Technology,,"business software, Self Made","Bachelor of Arts / Science, Jiangxi University of Finance & Economics",1,75%,Asia
Ian Wood,1.5,74,United Kingdom,N,,,,,,,2014,4,0,0,0,Energy,,energy services,NA,NA,100%,Europe
Wu Yiling,1.5,67,China,Y,N,N,N,N,Y,NA,2012,6,0,0,0,Health care,,"pharmaceuticals, Self Made","Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine",2,100%,Asia
Takao Yasuda,1.5,67,Japan,Y,N,Y,N,N,N,NA,2011,6,1,1,1,Fashion and Retail,,"retail, Self Made","Bachelor of Arts / Science, Keio University",1,86%,Asia
Albert Yeung,1.5,74,Hong Kong,Y,,,,,,,2011,7,0,0,0,Diversified,,"real estate, retail, Self Made",NA,NA,100%,Asia
Zhang Jingzhang,1.5,81,China,Y,,,,,,,2017,1,0,0,0,Manufacturing,,"precision machinery, Self Made",NA,NA,100%,Asia
Zhong Sheng Jian,1.5,59,Singapore,Y,,,,,,,2007,10,1,1,1,Real Estate,,"real estate, Self Made",NA,NA,91%,Asia
Zhou Hongyi,1.5,46,China,Y,N,N,Y,N,N,NA,2014,4,0,0,0,Technology,,"security software, Self Made","Master of Science, Xi'an Jiaotong University",1,100%,Asia
William Ackman,1.4,50,United States,Y,N,Y,N,Y,N,NA,2013,5,0,0,0,Finance,,"hedge funds, Self Made","Bachelor of Arts / Science, Harvard University; Master of Business Administration, Harvard Business School",2,100%,North America
Radhe Shyam Agarwal,1.4,72,India,Y,N,N,N,N,Y,NA,2015,3,0,0,0,Retail,,"consumer goods, Self Made","LLB, Calcutta University; M.Com, Calcutta University; Chartered Accountant, Institute of Chartered Accountants of India; Company Secretary, Institute of Company Secretaries of India",4,100%,Asia
Bill Alfond,1.4,68,United States,N,,,,,,,2016,2,0,0,0,Fashion and Retail,,shoes,NA,NA,100%,North America
Peter Alfond,1.4,64,United States,N,,,,,,,2016,2,0,0,0,Fashion and Retail,,shoes,NA,NA,100%,North America
Susan Alfond,1.4,71,United States,N,,,,,,,2016,2,0,0,0,Fashion and Retail,,shoes,NA,NA,100%,North America
Ted Alfond,1.4,72,United States,N,,,,,,,2016,2,0,0,0,Fashion and Retail,,shoes,NA,NA,100%,North America
Bassam Alghanim,1.4,65,Kuwait,N,N,Y,N,N,N,NA,2007,9,2,2,1,Diversified,,diversified,"Bachelor of Arts / Science, University of California Berkeley",1,82%,Middle East
Kutayba Alghanim,1.4,71,Kuwait,N,N,Y,N,N,N,NA,2007,9,2,2,1,Diversified,,diversified,"Bachelor of Arts / Science, University of California Berkeley",1,82%,Middle East
Joao Alves de Queiroz Filho,1.4,64,Brazil,Y,N,Y,N,N,N,NA,2010,7,1,1,1,Diversified,,"consumer goods, Self Made","Bachelor of Arts / Science, Faculdade Dom Pedro II",1,88%,South America
Alexei Ananyev,1.4,52,Russia,Y,N,N,N,Y,N,NA,2007,10,1,1,1,Diversified,,"banking, IT, real estate, Self Made","Master of Business Administration, University of Chicago",1,91%,Europe
Dmitry Ananyev,1.4,48,Russia,Y,N,N,N,Y,N,NA,2007,10,1,1,1,Diversified,,"banking, IT, real estate, Self Made","Master of Business Administration, University of Chicago",1,91%,Europe
Ramon Ang,1.4,63,Philippines,Y,N,Y,N,N,N,NA,2017,1,0,0,0,Diversified,,"Diversified, Self Made","Bachelor of Engineering, Far Eastern University",1,100%,Asia
Vasily Anisimov,1.4,65,Russia,Y,N,Y,N,N,N,NA,2007,10,1,1,1,Metals and Mining,,"real estate, Self Made","Bachelor of Arts / Science, Alma-Ata Institute of National Economy",1,91%,Europe
Mika Anttonen,1.4,50,Finland,Y,,,,,,,2017,1,0,0,0,Oil,,"oil & gas, Self Made",NA,NA,100%,Europe
William F. Austin,1.4,75,United States,Y,,,,,,,2015,3,0,0,0,Health care,,"hearing aids, Self Made",NA,NA,100%,North America
Lesley Bamberger,1.4,51,Netherlands,N,,,,,,,2017,1,0,0,0,Real Estate,,real estate,NA,NA,100%,Europe
Alex Beard,1.4,49,United Kingdom,Y,N,N,Y,N,N,NA,2012,5,1,1,1,Metals and Mining,,"mining, commodities, Self Made","Master of Science, Oxford University",1,83%,Europe
Angela Bennett,1.4,72,Australia,N,,,,,,,2012,3,2,2,2,Metals and Mining,,mining,NA,NA,50%,Oceania
Henadiy Boholyubov,1.4,55,Ukraine,Y,,,,,,,2007,11,0,0,0,Diversified,,"banking, investments, Self Made",NA,NA,100%,Europe
Ana Maria Brescia Cafferata,1.4,92,Peru,N,,,,,,,2013,5,0,0,0,Diversified,,"mining, banking",NA,NA,100%,South America
Anand Burman,1.4,64,India,N,N,Y,N,N,N,NA,2015,3,0,0,0,Retail,,Consumer goods,"Bachelor of Arts / Science, University of Kansas",1,100%,Asia
Ahmet Calik,1.4,59,Turkey,Y,,,,,,,2008,10,0,0,0,Diversified,,"energy, banking, construction, Self Made",NA,NA,100%,Middle East
Cao Kejian,1.4,54,China,Y,,,,,,,2013,5,0,0,0,Manufacturing,,"air compressors, Self Made",NA,NA,100%,Asia
Che Fengsheng,1.4,54,China,Y,N,N,N,Y,N,N,2011,4,2,2,2,Health care,,"pharmaceuticals, Self Made","EMBA, China Europe International Business School",1,57%,Asia
Chen Dakui,1.4,65,China,Y,,,,,,,2017,1,0,0,0,Manufacturing,,"shrink-wrap film, Self Made",NA,NA,100%,Asia
Chen Nianci,1.4,65,China,Y,N,N,N,Y,N,NA,2017,1,0,0,0,Retail,,"retail, Self Made","Master of Business Administration, China Europe International Business School",1,100%,Asia
Bruce Cheng,1.4,81,Taiwan,Y,,,,,,,2014,4,0,0,0,Technology,,"electronics, Self Made",NA,NA,100%,Asia
Chua Thian Poh,1.4,68,Singapore,Y,,,,,,,2017,1,0,0,0,Real Estate,,"real estate, Self Made",NA,NA,100%,Asia
Gustavo Cisneros,1.4,71,Venezuela,N,N,Y,N,N,N,NA,2007,11,0,0,0,Media,,media,"Bachelor of Arts / Science, Babson College",1,100%,South America
Robert Defares,1.4,55,Netherlands,Y,,,,,,,2017,1,0,0,0,Finance,,"electronic trading, Self Made",NA,NA,100%,Europe
Richard Desmond,1.4,65,United Kingdom,Y,,,,,,,2007,11,0,0,0,Media,,"publishing, Self Made",NA,NA,100%,Europe
Mohammed Dewji,1.4,41,Tanzania,N,,,,,,,2015,3,0,0,0,Diversified,,diversified,NA,NA,100%,Africa
John Edson,1.4,84,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Manufacturing,,"leisure craft, Self Made","Drop Out, University of Washington",0,100%,North America
